X,Y,OBJECTID,vrsta,naziv,lokacija,broj_stalaka,broj_bicikala,godina_postavljanja,MJESNI_ODBOR,GRADSKA_CETVRT
16.0180593650001,45.8147528280001,163,stalci,Borongaj 1,Borongaj 1,11,22,2019,Maksimirska naselja,MAKSIMIR
16.016632766,45.8148652290001,164,stalci,Borongaj 3,Borongaj 3,11,22,2019,Maksimirska naselja,MAKSIMIR
16.0098461060001,45.815897152,165,stalci,Kennedyev trg 3,Kennedyjev trg 3,6,12,2019,Ružmarinka,MAKSIMIR
16.0085331660001,45.8148033030001,166,stalci,Kennedyev trg 11,Kennedyev trg 11,2,4,2021,Ružmarinka,MAKSIMIR
15.9756650410001,45.7970274140001,167,stalci,Gacka 16 - Ulix d.o.o.,Gacka 16,4,8,2018,Miramare,TRNJE
15.9866416460001,45.7981592450001,168,stalci,O.Š. Grigor Vitez,Kruge 46,3,6,2017,Trnje,TRNJE
16.0037232930001,45.802655256,169,stalci,Radnička cesta 39,Radnička cesta 39,17,34,2019,Kanal,TRNJE
16.0040575630001,45.805229282,170,stalci,The Hive Zagreb Climbing,Heinzelova 66,6,12,2018,Kanal,TRNJE
16.005316861,45.806780233,171,stalci,ZGH - Zagrepčanka,Heinzelova 68,5,10,2018,Kanal,TRNJE
16.016111746,45.804578366,172,stalci,Donje Svetice 89,Donje Svetice 89,6,12,2015,Donje Svetice,PEŠČENICA - ŽITNJAK
16.025016346,45.802572748,173,stalci,Ferenščica I. 90,Ferenščica I. 90,4,8,2016,Ferenščica,PEŠČENICA - ŽITNJAK
15.948691535,45.812358455,174,stalci,Vodovodna - Ilica,Vodovodna - Ilica,3,6,2019,"""Ban Keglević""",ČRNOMEREC
16.041923592,45.8124892530001,175,stalci,Kampus Borongaj,Kampus Borongaj,17,34,2015,Borongaj - Lugovi,PEŠČENICA - ŽITNJAK
15.8460422960001,45.8153951850001,176,stalci,Podsusedska aleja 79,Podsusedska aleja 79,,,2018,Podsused,PODSUSED - VRAPČE
15.871567129,45.81805473,177,stalci,OŠ Dragutina Domjanića,Gajnice 31,10,20,2020,Gajnice,PODSUSED - VRAPČE
15.9983736840001,45.824375237,178,stalci,Dobri dol 47-49,Dobri dol 47-49,3,,2021,Dobri Dol,MAKSIMIR
15.9183346300001,45.794191041,179,stalci,Rudeška cesta k.br. 144,Rudeška cesta k.br. 144,3,,2021,Vrbani,TREŠNJEVKA - JUG
15.9200208090001,45.792712049,180,stalci,DV Grigor Vitez,Ožujska 10a,3,,2021,Vrbani,TREŠNJEVKA - JUG
